id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
1886,9.47,5.93,197.13,2019-01-01 16:30:00,1
1887,9.76,5.89,191.74,2019-01-01 16:31:00,1
1888,8.82,5.96,194.26,2019-01-01 16:32:00,1
1889,9.71,5.89,184.98,2019-01-01 16:33:00,1
1890,9.01,5.87,193.62,2019-01-01 16:34:00,1
1891,9.08,5.97,199.70,2019-01-01 16:35:00,1
1892,8.71,5.87,194.56,2019-01-01 16:36:00,1
1893,8.70,5.87,189.95,2019-01-01 16:37:00,1
1894,9.04,5.94,184.30,2019-01-01 16:38:00,1
1895,9.49,5.89,181.42,2019-01-01 16:39:00,1
1896,10.42,4.91,1001.79,2019-01-01 13:43:00,2
1897,10.28,5.07,1235.73,2019-01-01 13:44:00,2
1898,10.18,4.57,1190.04,2019-01-01 13:45:00,2
1899,10.10,4.32,1072.83,2019-01-01 13:46:00,2
1900,10.41,4.90,1044.77,2019-01-01 13:47:00,2
1901,10.35,5.00,1111.71,2019-01-01 13:48:00,2
1902,10.51,4.36,1201.19,2019-01-01 13:49:00,2
1903,10.44,4.43,1059.19,2019-01-01 13:50:00,2
1904,10.56,4.74,1170.53,2019-01-01 13:51:00,2
1905,10.42,5.08,1128.06,2019-01-01 13:52:00,2
1906,9.87,4.87,1227.09,2019-01-01 13:53:00,2
1907,10.07,4.60,1156.87,2019-01-01 13:54:00,2
1908,10.62,4.46,1002.07,2019-01-01 13:55:00,2
1909,10.30,5.01,1139.42,2019-01-01 13:56:00,2
1910,10.56,4.38,1301.28,2019-01-01 13:57:00,2
1911,10.18,4.81,995.51,2019-01-01 13:58:00,2
1912,10.44,4.76,981.63,2019-01-01 13:59:00,2
1913,10.09,4.85,1075.47,2019-01-01 14:00:00,2
1914,10.35,4.54,1160.99,2019-01-01 14:01:00,2
1915,10.06,4.60,1296.66,2019-01-01 14:02:00,2
1916,9.98,4.84,1133.52,2019-01-01 14:03:00,2
1917,10.25,4.93,1254.18,2019-01-01 14:04:00,2
1918,10.39,4.59,1111.69,2019-01-01 14:05:00,2
1919,10.41,4.36,986.79,2019-01-01 14:06:00,2
1920,10.20,5.04,1000.55,2019-01-01 14:07:00,2
1921,9.96,4.46,980.34,2019-01-01 14:08:00,2
1922,9.89,4.36,1074.43,2019-01-01 14:09:00,2
1923,9.92,4.96,1161.83,2019-01-01 14:10:00,2
1924,10.07,4.51,1291.07,2019-01-01 14:11:00,2
1925,10.14,4.50,1005.24,2019-01-01 14:12:00,2
1926,10.17,4.98,1041.41,2019-01-01 14:13:00,2
1927,10.56,4.61,1243.53,2019-01-01 14:14:00,2
1928,10.13,4.50,1072.04,2019-01-01 14:15:00,2
1929,10.31,4.38,1017.21,2019-01-01 14:16:00,2
1930,10.13,4.57,994.39,2019-01-01 14:17:00,2
1931,10.39,4.52,1294.38,2019-01-01 14:18:00,2
1932,10.26,4.46,1127.14,2019-01-01 14:19:00,2
1933,10.47,4.49,980.95,2019-01-01 14:20:00,2
1934,10.01,4.34,1090.16,2019-01-01 14:21:00,2
1935,10.27,4.68,1120.80,2019-01-01 14:22:00,2
1936,10.34,4.68,1292.76,2019-01-01 14:23:00,2
1937,9.87,4.95,1256.50,2019-01-01 14:24:00,2
1938,9.97,4.65,1264.04,2019-01-01 14:25:00,2
1939,10.08,4.45,1242.27,2019-01-01 14:26:00,2
1940,10.40,4.52,1128.17,2019-01-01 14:27:00,2
1941,10.45,4.56,1076.81,2019-01-01 14:28:00,2
1942,10.44,4.79,1103.90,2019-01-01 14:29:00,2
1943,10.03,4.58,1073.77,2019-01-01 14:30:00,2
1944,10.03,4.92,1305.57,2019-01-01 14:31:00,2
1945,9.89,5.07,1297.49,2019-01-01 14:32:00,2
1946,10.20,4.40,1011.99,2019-01-01 14:33:00,2
1947,10.35,4.35,1101.45,2019-01-01 14:34:00,2
1948,10.02,4.75,994.66,2019-01-01 14:35:00,2
1949,10.25,4.53,1008.67,2019-01-01 14:36:00,2
1950,10.01,5.00,1099.05,2019-01-01 14:37:00,2
1951,10.54,4.60,1119.66,2019-01-01 14:38:00,2
1952,10.43,4.62,1171.81,2019-01-01 14:39:00,2
1953,9.86,4.77,1063.21,2019-01-01 14:40:00,2
1954,10.19,4.71,994.32,2019-01-01 14:41:00,2
1955,10.39,4.98,1255.54,2019-01-01 14:42:00,2
1956,10.11,4.57,1085.17,2019-01-01 14:43:00,2
1957,10.20,4.58,999.36,2019-01-01 14:44:00,2
1958,10.63,4.66,1228.86,2019-01-01 14:45:00,2
1959,10.42,4.44,1052.91,2019-01-01 14:46:00,2
1960,10.38,4.95,984.90,2019-01-01 14:47:00,2
1961,10.65,4.64,1124.23,2019-01-01 14:48:00,2
1962,10.34,4.94,1060.31,2019-01-01 14:49:00,2
1963,10.66,4.66,1038.90,2019-01-01 14:50:00,2
1964,10.40,4.52,1169.80,2019-01-01 14:51:00,2
1965,10.57,4.57,1109.69,2019-01-01 14:52:00,2
1966,10.19,4.51,1084.97,2019-01-01 14:53:00,2
1967,10.36,5.03,1157.31,2019-01-01 14:54:00,2
1968,10.39,4.43,1019.89,2019-01-01 14:55:00,2
1969,10.10,4.81,986.68,2019-01-01 14:56:00,2
1970,10.09,4.47,1020.54,2019-01-01 14:57:00,2
1971,10.00,4.71,1013.50,2019-01-01 14:58:00,2
1972,10.28,4.78,1069.01,2019-01-01 14:59:00,2
1973,9.97,4.33,1199.34,2019-01-01 15:00:00,2
1974,10.56,4.36,987.42,2019-01-01 15:01:00,2
1975,10.11,4.36,1141.24,2019-01-01 15:02:00,2
1976,10.44,4.82,1087.67,2019-01-01 15:03:00,2
1977,10.41,4.48,988.74,2019-01-01 15:04:00,2
1978,10.54,4.69,1153.72,2019-01-01 15:05:00,2
1979,10.20,4.99,1163.31,2019-01-01 15:06:00,2
1980,10.62,5.05,1070.98,2019-01-01 15:07:00,2
1981,9.95,5.00,1292.54,2019-01-01 15:08:00,2
1982,10.00,4.86,1019.68,2019-01-01 15:09:00,2
1983,9.98,4.79,1298.46,2019-01-01 15:10:00,2
1984,10.60,4.66,1134.08,2019-01-01 15:11:00,2
1985,10.29,4.60,1103.56,2019-01-01 15:12:00,2
1986,10.60,4.68,1037.75,2019-01-01 15:13:00,2
1987,9.91,4.92,1096.30,2019-01-01 15:14:00,2
1988,9.91,4.82,1285.53,2019-01-01 15:15:00,2
1989,10.19,4.61,1109.37,2019-01-01 15:16:00,2
1990,9.89,4.69,1103.39,2019-01-01 15:17:00,2
1991,9.90,4.68,1301.97,2019-01-01 15:18:00,2
1992,10.07,4.93,1014.70,2019-01-01 15:19:00,2
1993,10.16,4.67,1284.00,2019-01-01 15:20:00,2
1994,10.56,4.85,1237.84,2019-01-01 15:21:00,2
1995,10.62,4.89,1103.62,2019-01-01 15:22:00,2
1996,10.40,4.37,1152.18,2019-01-01 15:23:00,2
1997,10.23,4.77,1288.16,2019-01-01 15:24:00,2
1998,10.27,5.03,1118.22,2019-01-01 15:25:00,2
1999,10.30,4.77,1209.37,2019-01-01 15:26:00,2
2000,10.57,4.91,1208.11,2019-01-01 15:27:00,2
2001,9.97,4.65,1277.44,2019-01-01 15:28:00,2
2002,9.95,4.61,1288.57,2019-01-01 15:29:00,2
2003,10.42,4.48,1146.70,2019-01-01 15:30:00,2
2004,10.44,4.88,1136.17,2019-01-01 15:31:00,2
2005,10.26,4.42,1265.81,2019-01-01 15:32:00,2
2006,10.59,4.75,1030.29,2019-01-01 15:33:00,2
2007,10.01,5.04,1016.70,2019-01-01 15:34:00,2
2008,10.32,4.80,1126.61,2019-01-01 15:35:00,2
2009,10.05,4.40,1225.29,2019-01-01 15:36:00,2
2010,10.22,4.39,1205.31,2019-01-01 15:37:00,2
2011,9.95,4.84,1148.10,2019-01-01 15:38:00,2
2012,10.07,4.70,1003.28,2019-01-01 15:39:00,2
2013,9.83,4.61,1134.93,2019-01-01 15:40:00,2
2014,10.67,4.53,1072.46,2019-01-01 15:41:00,2
2015,9.93,4.42,1190.76,2019-01-01 15:42:00,2
2016,10.35,4.88,1054.01,2019-01-01 15:43:00,2
2017,10.30,4.32,1253.57,2019-01-01 15:44:00,2
2018,9.86,5.00,1103.08,2019-01-01 15:45:00,2
2019,9.93,4.72,1031.27,2019-01-01 15:46:00,2
2020,9.87,4.91,1063.76,2019-01-01 15:47:00,2
2021,10.62,5.05,1055.31,2019-01-01 15:48:00,2
2022,10.30,4.38,1298.88,2019-01-01 15:49:00,2
2023,10.61,4.99,1107.12,2019-01-01 15:50:00,2
2024,10.32,4.49,1262.39,2019-01-01 15:51:00,2
2025,9.99,4.88,1223.16,2019-01-01 15:52:00,2
2026,10.39,4.87,1089.61,2019-01-01 15:53:00,2
2027,10.37,4.74,1102.99,2019-01-01 15:54:00,2
2028,10.63,4.51,1072.03,2019-01-01 15:55:00,2
2029,9.86,4.37,990.27,2019-01-01 15:56:00,2
2030,10.05,4.83,1229.33,2019-01-01 15:57:00,2
2031,9.83,4.70,1255.27,2019-01-01 15:58:00,2
2032,10.08,4.41,1228.72,2019-01-01 15:59:00,2
2033,10.10,5.07,1176.92,2019-01-01 16:00:00,2
2034,9.87,4.72,1274.47,2019-01-01 16:01:00,2
2035,9.94,4.99,1096.61,2019-01-01 16:02:00,2
2036,10.20,4.55,1210.89,2019-01-01 16:03:00,2
2037,10.27,4.82,1224.27,2019-01-01 16:04:00,2
2038,10.24,4.84,1281.69,2019-01-01 16:05:00,2
2039,10.37,4.42,1127.94,2019-01-01 16:06:00,2
2040,10.34,4.93,1179.04,2019-01-01 16:07:00,2
2041,10.28,4.34,1213.07,2019-01-01 16:08:00,2
2042,10.38,4.43,1274.68,2019-01-01 16:09:00,2
2043,10.06,5.05,1176.98,2019-01-01 16:10:00,2
2044,10.52,4.85,1058.97,2019-01-01 16:11:00,2
2045,10.50,4.70,1028.76,2019-01-01 16:12:00,2
2046,9.92,4.93,1068.71,2019-01-01 16:13:00,2
2047,10.18,5.01,980.09,2019-01-01 16:14:00,2
2048,10.30,4.44,1069.90,2019-01-01 16:15:00,2
2049,10.49,5.01,1119.09,2019-01-01 16:16:00,2
2050,10.22,4.55,1060.99,2019-01-01 16:17:00,2
2051,10.65,4.56,1151.84,2019-01-01 16:18:00,2
2052,10.12,4.86,1175.23,2019-01-01 16:19:00,2
2053,10.52,4.70,1052.95,2019-01-01 16:20:00,2
2054,10.20,4.88,1163.07,2019-01-01 16:21:00,2
2055,10.46,4.47,1165.94,2019-01-01 16:22:00,2
2056,9.87,4.43,998.90,2019-01-01 16:23:00,2
2057,10.60,4.74,991.70,2019-01-01 16:24:00,2
2058,10.01,4.95,1150.36,2019-01-01 16:25:00,2
2059,10.43,4.47,1179.42,2019-01-01 16:26:00,2
2060,10.49,4.89,1110.74,2019-01-01 16:27:00,2
2061,10.38,4.71,993.97,2019-01-01 16:28:00,2
2062,10.55,4.80,1014.68,2019-01-01 16:29:00,2
2063,10.43,4.86,1268.17,2019-01-01 16:30:00,2
2064,10.25,4.47,1162.34,2019-01-01 16:31:00,2
2065,10.64,4.94,1076.67,2019-01-01 16:32:00,2
2066,10.15,5.04,1006.00,2019-01-01 16:33:00,2
2067,10.35,4.66,979.34,2019-01-01 16:34:00,2
2068,10.13,4.81,1245.53,2019-01-01 16:35:00,2
2069,9.86,4.49,1101.56,2019-01-01 16:36:00,2
2070,10.13,4.74,1280.62,2019-01-01 16:37:00,2
2071,10.23,4.41,1166.40,2019-01-01 16:38:00,2
2072,10.59,4.70,1177.01,2019-01-01 16:39:00,2
2073,5.69,4.41,1016.53,2019-01-01 13:43:00,3
2074,6.26,4.34,1365.45,2019-01-01 13:44:00,3
2075,6.09,4.38,1397.40,2019-01-01 13:45:00,3
2076,6.56,4.37,1120.42,2019-01-01 13:46:00,3
2077,6.35,4.37,1335.11,2019-01-01 13:47:00,3
2078,6.62,4.54,1166.00,2019-01-01 13:48:00,3
2079,5.70,4.57,1227.27,2019-01-01 13:49:00,3
2080,5.76,4.51,986.03,2019-01-01 13:50:00,3
2081,6.38,4.36,1379.99,2019-01-01 13:51:00,3
2082,6.62,4.75,1141.53,2019-01-01 13:52:00,3
2083,5.95,4.73,1146.77,2019-01-01 13:53:00,3
2084,6.39,4.71,990.46,2019-01-01 13:54:00,3
2085,6.52,4.36,1025.27,2019-01-01 13:55:00,3
2086,5.67,4.71,1074.74,2019-01-01 13:56:00,3
2087,5.92,4.35,1249.89,2019-01-01 13:57:00,3
2088,5.90,4.67,1131.21,2019-01-01 13:58:00,3
2089,6.33,4.73,1019.98,2019-01-01 13:59:00,3
2090,6.40,4.71,1243.64,2019-01-01 14:00:00,3
2091,5.69,4.40,1356.58,2019-01-01 14:01:00,3
2092,6.27,4.39,1061.85,2019-01-01 14:02:00,3
2093,5.85,4.48,1094.29,2019-01-01 14:03:00,3
2094,6.67,4.75,1151.83,2019-01-01 14:04:00,3
2095,6.32,4.38,1310.92,2019-01-01 14:05:00,3
2096,6.51,4.51,964.36,2019-01-01 14:06:00,3
2097,6.52,4.24,1223.80,2019-01-01 14:07:00,3
2098,6.06,4.69,1308.67,2019-01-01 14:08:00,3
2099,5.73,4.43,1226.50,2019-01-01 14:09:00,3
2100,6.22,4.24,1078.13,2019-01-01 14:10:00,3
2101,6.27,4.75,1018.82,2019-01-01 14:11:00,3
2102,6.30,4.31,1037.60,2019-01-01 14:12:00,3
2103,5.81,4.55,1240.93,2019-01-01 14:13:00,3
2104,5.69,4.34,1116.53,2019-01-01 14:14:00,3
2105,6.21,4.69,1134.78,2019-01-01 14:15:00,3
2106,6.36,4.33,1059.61,2019-01-01 14:16:00,3
2107,6.50,4.29,1243.36,2019-01-01 14:17:00,3
2108,6.40,4.67,1165.33,2019-01-01 14:18:00,3
2109,5.68,4.23,1245.10,2019-01-01 14:19:00,3
2110,6.67,4.32,1116.88,2019-01-01 14:20:00,3
2111,5.80,4.70,1245.86,2019-01-01 14:21:00,3
2112,5.74,4.41,1400.39,2019-01-01 14:22:00,3
2113,6.38,4.40,1397.39,2019-01-01 14:23:00,3
2114,5.69,4.65,1162.03,2019-01-01 14:24:00,3
2115,6.55,4.64,1112.59,2019-01-01 14:25:00,3
2116,6.08,4.69,1321.84,2019-01-01 14:26:00,3
2117,5.67,4.35,984.61,2019-01-01 14:27:00,3
2118,6.41,4.64,1019.36,2019-01-01 14:28:00,3
2119,6.18,4.68,1181.22,2019-01-01 14:29:00,3
2120,6.10,4.39,1270.54,2019-01-01 14:30:00,3
2121,6.42,4.60,1329.10,2019-01-01 14:31:00,3
2122,6.63,4.24,1037.58,2019-01-01 14:32:00,3
2123,6.27,4.75,1091.10,2019-01-01 14:33:00,3
2124,5.83,4.76,1078.38,2019-01-01 14:34:00,3
2125,6.56,4.30,965.83,2019-01-01 14:35:00,3
2126,6.61,4.47,1054.95,2019-01-01 14:36:00,3
2127,6.27,4.50,1248.66,2019-01-01 14:37:00,3
2128,5.95,4.67,969.63,2019-01-01 14:38:00,3
2129,5.72,4.50,1295.21,2019-01-01 14:39:00,3
2130,6.21,4.47,1200.07,2019-01-01 14:40:00,3
2131,6.38,4.40,1373.43,2019-01-01 14:41:00,3
2132,6.35,4.69,1003.58,2019-01-01 14:42:00,3
2133,5.69,4.43,1373.03,2019-01-01 14:43:00,3
2134,6.65,4.61,1272.87,2019-01-01 14:44:00,3
2135,5.88,4.48,968.04,2019-01-01 14:45:00,3
2136,6.44,4.38,967.23,2019-01-01 14:46:00,3
2137,6.22,4.37,1365.67,2019-01-01 14:47:00,3
2138,5.85,4.68,1372.98,2019-01-01 14:48:00,3
2139,6.04,4.34,1171.11,2019-01-01 14:49:00,3
2140,6.15,4.71,1253.34,2019-01-01 14:50:00,3
2141,6.67,4.33,1091.81,2019-01-01 14:51:00,3
2142,5.74,4.54,1293.55,2019-01-01 14:52:00,3
2143,5.99,4.22,1125.79,2019-01-01 14:53:00,3
2144,6.48,4.27,1173.44,2019-01-01 14:54:00,3
2145,6.06,4.36,1345.85,2019-01-01 14:55:00,3
2146,6.57,4.60,1189.75,2019-01-01 14:56:00,3
2147,6.15,4.52,1257.45,2019-01-01 14:57:00,3
2148,5.86,4.26,994.58,2019-01-01 14:58:00,3
2149,6.17,4.60,1155.97,2019-01-01 14:59:00,3
2150,6.26,4.67,1218.18,2019-01-01 15:00:00,3
2151,6.53,4.59,1302.71,2019-01-01 15:01:00,3
2152,5.97,4.42,1396.28,2019-01-01 15:02:00,3
2153,5.69,4.39,964.97,2019-01-01 15:03:00,3
2154,6.58,4.47,1072.08,2019-01-01 15:04:00,3
2155,5.97,4.63,1322.05,2019-01-01 15:05:00,3
2156,5.92,4.27,1215.00,2019-01-01 15:06:00,3
2157,5.75,4.64,1276.86,2019-01-01 15:07:00,3
2158,5.90,4.44,1399.94,2019-01-01 15:08:00,3
2159,6.40,4.23,1325.60,2019-01-01 15:09:00,3
2160,6.47,4.42,1369.91,2019-01-01 15:10:00,3
2161,5.71,4.34,1348.33,2019-01-01 15:11:00,3
2162,6.26,4.55,1250.12,2019-01-01 15:12:00,3
2163,6.63,4.60,1128.69,2019-01-01 15:13:00,3
2164,6.06,4.62,1220.93,2019-01-01 15:14:00,3
2165,6.14,4.60,1336.17,2019-01-01 15:15:00,3
2166,6.22,4.28,1005.21,2019-01-01 15:16:00,3
2167,5.76,4.34,1013.77,2019-01-01 15:17:00,3
2168,6.04,4.23,1079.87,2019-01-01 15:18:00,3
2169,6.57,4.62,1140.00,2019-01-01 15:19:00,3
2170,6.42,4.34,1266.19,2019-01-01 15:20:00,3
2171,5.83,4.68,1171.62,2019-01-01 15:21:00,3
2172,6.31,4.37,1051.48,2019-01-01 15:22:00,3
2173,6.53,4.23,1275.94,2019-01-01 15:23:00,3
2174,6.63,4.51,1113.36,2019-01-01 15:24:00,3
2175,5.98,4.29,1396.92,2019-01-01 15:25:00,3
2176,6.26,4.57,1152.89,2019-01-01 15:26:00,3
2177,6.19,4.66,1208.88,2019-01-01 15:27:00,3
2178,5.70,4.43,1276.36,2019-01-01 15:28:00,3
2179,6.65,4.56,1225.43,2019-01-01 15:29:00,3
2180,6.22,4.72,1371.77,2019-01-01 15:30:00,3
2181,6.21,4.58,1192.23,2019-01-01 15:31:00,3
2182,6.47,4.45,1218.19,2019-01-01 15:32:00,3
2183,6.49,4.50,1384.40,2019-01-01 15:33:00,3
2184,6.51,4.73,1384.20,2019-01-01 15:34:00,3
2185,5.93,4.47,1266.99,2019-01-01 15:35:00,3
2186,6.60,4.26,1208.94,2019-01-01 15:36:00,3
2187,6.66,4.54,1161.54,2019-01-01 15:37:00,3
2188,6.53,4.56,1074.88,2019-01-01 15:38:00,3
2189,6.54,4.75,1115.21,2019-01-01 15:39:00,3
2190,6.33,4.78,1164.52,2019-01-01 15:40:00,3
2191,6.13,4.31,1174.25,2019-01-01 15:41:00,3
2192,6.00,4.74,1218.78,2019-01-01 15:42:00,3
2193,5.90,4.26,1097.62,2019-01-01 15:43:00,3
2194,6.09,4.61,1074.11,2019-01-01 15:44:00,3
2195,6.54,4.73,1111.26,2019-01-01 15:45:00,3
2196,5.71,4.76,1337.06,2019-01-01 15:46:00,3
2197,6.44,4.59,1007.85,2019-01-01 15:47:00,3
2198,6.12,4.36,1354.13,2019-01-01 15:48:00,3
2199,5.99,4.36,1386.57,2019-01-01 15:49:00,3
2200,6.47,4.77,1368.13,2019-01-01 15:50:00,3
2201,6.09,4.77,1221.89,2019-01-01 15:51:00,3
2202,6.45,4.46,1083.01,2019-01-01 15:52:00,3
2203,5.67,4.47,1136.70,2019-01-01 15:53:00,3
2204,6.27,4.42,1278.63,2019-01-01 15:54:00,3
2205,6.17,4.45,1385.52,2019-01-01 15:55:00,3
2206,5.81,4.75,965.95,2019-01-01 15:56:00,3
2207,6.30,4.76,1174.70,2019-01-01 15:57:00,3
2208,6.51,4.46,1045.06,2019-01-01 15:58:00,3
2209,6.40,4.44,1396.26,2019-01-01 15:59:00,3
2210,6.26,4.65,1040.60,2019-01-01 16:00:00,3
2211,6.31,4.49,1016.19,2019-01-01 16:01:00,3
2212,6.54,4.34,1121.18,2019-01-01 16:02:00,3
2213,6.22,4.63,1213.51,2019-01-01 16:03:00,3
2214,6.58,4.59,1349.59,2019-01-01 16:04:00,3
2215,6.05,4.52,1373.21,2019-01-01 16:05:00,3
2216,6.54,4.33,1034.57,2019-01-01 16:06:00,3
2217,6.17,4.27,1395.18,2019-01-01 16:07:00,3
2218,6.53,4.50,1404.00,2019-01-01 16:08:00,3
2219,6.17,4.55,1179.88,2019-01-01 16:09:00,3
2220,6.48,4.43,1369.11,2019-01-01 16:10:00,3
2221,5.81,4.26,1145.43,2019-01-01 16:11:00,3
2222,6.03,4.47,979.37,2019-01-01 16:12:00,3
2223,5.82,4.65,1388.07,2019-01-01 16:13:00,3
2224,5.85,4.32,1045.93,2019-01-01 16:14:00,3
2225,6.46,4.31,1271.41,2019-01-01 16:15:00,3
2226,6.49,4.46,1219.56,2019-01-01 16:16:00,3
2227,5.90,4.62,1166.96,2019-01-01 16:17:00,3
2228,6.06,4.76,997.57,2019-01-01 16:18:00,3
2229,5.79,4.35,1184.63,2019-01-01 16:19:00,3
2230,6.60,4.30,1117.37,2019-01-01 16:20:00,3
2231,6.14,4.72,1007.20,2019-01-01 16:21:00,3
2232,6.43,4.29,1136.58,2019-01-01 16:22:00,3
2233,6.65,4.70,1202.12,2019-01-01 16:23:00,3
2234,6.36,4.74,999.51,2019-01-01 16:24:00,3
2235,6.66,4.42,1036.10,2019-01-01 16:25:00,3
2236,5.83,4.65,1061.00,2019-01-01 16:26:00,3
2237,5.98,4.30,1051.41,2019-01-01 16:27:00,3
2238,6.18,4.76,1202.50,2019-01-01 16:28:00,3
2239,6.20,4.36,1311.49,2019-01-01 16:29:00,3
2240,6.38,4.57,1283.26,2019-01-01 16:30:00,3
2241,6.64,4.72,1226.29,2019-01-01 16:31:00,3
2242,6.67,4.57,1409.28,2019-01-01 16:32:00,3
2243,6.51,4.27,1119.93,2019-01-01 16:33:00,3
2244,6.67,4.49,1233.25,2019-01-01 16:34:00,3
2245,6.07,4.46,1106.36,2019-01-01 16:35:00,3
2246,6.24,4.69,1170.44,2019-01-01 16:36:00,3
2247,6.41,4.66,1293.17,2019-01-01 16:37:00,3
2248,5.79,4.42,1239.69,2019-01-01 16:38:00,3
2249,6.30,4.25,1185.29,2019-01-01 16:39:00,3